Rank,Team,Upcoming matches,Points
135,Philippines,PhilippinesGuam03 Jun05:30,1094.1,
136,India,TajikistanIndia05 Jun09:00,1091.03,
137,Latvia,LithuaniaLatvia06 Jun07:00,1090.57,
138,Malaysia,,1086.22,
139,Central African Republic,,1083.57,
140,Liberia,,1079.02,
141,Turkmenistan,,1078.65,
142,Burundi,,1078.01,
143,Dominican Republic,,1077.95,
144,Ethiopia,,1071.55,
145,Lesotho,,1067.13,
146,Botswana,,1063.63,
147,Singapore,SingaporeMongolia31 May05:30,1059.53,
148,Lithuania,LithuaniaLatvia06 Jun07:00,1058.42,
149,Yemen,LebanonYemen04 Jun10:00,1049.49,
150,Guyana,,1049.32,
151,New Caledonia,,1036.95,
152,St Kitts and Nevis,,1036.33,
153,Solomon Islands,,1031.89,
154,Fiji,,1029.7,
155,"Hong Kong, China",Hong KongMongolia05 Jun06:00,1026.63,
156,Puerto Rico,Puerto RicoSaudi Arabia05 Jun18:00,1026.11,
157,Tahiti,,1019.04,
158,Myanmar,MyanmarGuam06 Jun05:30,1011.88,
159,Moldova,MoldovaBulgaria05 Jun11:00,1004.16,
160,Vanuatu,,997.01,
161,Malta,SlovakiaMalta01 Jun10:00,987.73,
162,Antigua and Barbuda,,986.58,
163,Grenada,,982.57,
164,Cuba,,981.42,
165,Eswatini,,979.01,
166,Bermuda,,976.87,
167,St Lucia,,976.71,
168,Papua New Guinea,,974.9,
169,Afghanistan,MaldivesAfghanistan01 Jun10:00,972.75,
170,South Sudan,,970.94,
171,St Vincent and the Grenadines,,968.27,
172,Maldives,MaldivesAfghanistan01 Jun10:00,954.93,
173,Andorra,AndorraLiechtenstein04 Jun11:00,945.34,
174,Chinese Taipei,,923.78,
175,Montserrat,,916.75,
176,Nepal,,914.54,
177,Cambodia,CambodiaBhutan04 Jun06:00,911.54,
178,Mauritius,,911.49,
179,Barbados,,909.89,
180,Belize,,907,
181,Bangladesh,PakistanBangladesh01 Jun05:00,899.53,
182,Dominica,,897.69,
183,Chad,,896.85,
184,Eritrea,,887.06,
185,Laos,,885.03,
186,Bhutan,CambodiaBhutan04 Jun06:00,880.55,
187,Mongolia,SingaporeMongolia31 May05:30,879.75,
188,Cook Islands,,877.53,
189,Aruba,,877.3,
190,Samoa,,876.41,
191,Sri Lanka,Sri LankaBhutan07 Jun,871.82,
192,American Samoa,,871.61,
193,Brunei Darussalam,BruneiTimor-Leste02 Jun03:00,863.09,
194,Macau,,858.03,
195,Cayman Islands,GibraltarCayman Islands06 Jun11:00,855.45,
196,São Tomé and Príncipe,,855.44,
197,Djibouti,,853.58,
