config,n_features,log_loss_mean,log_loss_std,brier_mean,delta_log_loss,delta_ci_low,delta_ci_high,significant
Completo (7 features),7,0.8675,0.0015,0.1691,0.0,0.0,0.0,False
Sin xG,5,0.8667,0.0017,0.1688,-0.0008,-0.0056,0.0045,False
Sin squad_value,6,0.8689,0.002,0.1693,0.0015,-0.0009,0.0041,False
Sin features derivadas,5,0.8623,0.0013,0.1678,-0.0052,-0.0113,0.0006,False
Sin penalty_share (marginal),6,0.8639,0.0016,0.1681,-0.0036,-0.0073,0.0002,False
Sin estáticas anacrónicas (xG+squad),4,0.8656,0.0014,0.1684,-0.0018,-0.0074,0.0041,False
Solo elo_diff,1,0.8566,0.0007,0.1665,-0.0108,-0.0202,-0.002,True
