team,squad_reduction_pct,champion_pct_base,champion_pct_injury,delta_champion_pct
Spain,0.3,23.19,22.7,-0.49
Argentina,0.3,10.81,11.32,0.51
France,0.3,10.15,10.48,0.33
Brazil,0.3,6.46,6.01,-0.45
England,0.3,5.56,5.38,-0.18
