team,squad_reduction_pct,champion_pct_base,champion_pct_injury,delta_champion_pct
Spain,0.3,14.12,13.91,-0.21
Argentina,0.3,11.2,10.51,-0.69
Brazil,0.3,8.32,8.69,0.37
France,0.3,8.01,8.08,0.07
England,0.3,6.3,6.62,0.32
