config,n_features,log_loss,brier_score,delta_log_loss,delta_brier
Completo (9 features),9,0.8547,0.1662,0.0,0.0
Sin xG,7,0.8587,0.167,0.004,0.0008
Sin squad_value,8,0.8553,0.1664,0.0006,0.0002
Sin features derivadas,6,0.8582,0.1668,0.0035,0.0006
Sin travel_distance (marginal),8,0.8548,0.1663,0.0001,0.0001
Sin penalty_share (marginal),8,0.8542,0.1661,-0.0005,-0.0001
Sin shootout (marginal),8,0.8555,0.1664,0.0008,0.0002
Sin estáticas anacrónicas (xG+squad),6,0.8588,0.167,0.0041,0.0008
