team,squad_reduction_pct,champion_pct_base,champion_pct_injury,delta_champion_pct
Spain,0.3,23.72,23.38,-0.34
Argentina,0.3,11.27,10.87,-0.4
France,0.3,10.88,10.57,-0.31
Brazil,0.3,6.35,6.17,-0.18
England,0.3,5.55,5.34,-0.21
